fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	force_row_wise	seed	learning_rate	lambda_l1	lambda_l2	min_gain_to_split	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20240520 200744	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	128	TRUE	445679	0.0768384431346931	5.94743052744889	5.89282567838382	0.552468185262114	0.582996824954171	866	273	11468	59325000	1
20240520 200817	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	64	TRUE	445679	0.18043363839628	6.81559540404123	4.73690904080286	0.613628378196154	0.779961554013425	3900	649	8801	55680000	2
20240520 200849	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	58	TRUE	445679	0.259253197624494	6.98605814635812	1.36549135859241	0.363211313662759	0.398969460534863	4355	360	11725	57465000	3
20240520 200957	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	147	TRUE	445679	0.0714894951857423	4.10742334752285	3.32506755825307	0.759267095534597	0.372085513896309	5631	558	9327	56865000	4
20240520 201031	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	108	TRUE	445679	0.192791735091232	1.79756202756835	5.99090202718799	0.325924846962153	0.723998246638803	3480	520	12343	60060000	5
20240520 201120	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	84	TRUE	445679	0.187296264286197	3.57873329950962	4.49892942458973	0.743514056535787	0.480896626506001	5849	587	5063	49860000	6
20240520 201139	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	51	TRUE	445679	0.215635222717028	3.8393034064211	1.81447377784934	0.669503425611765	0.698579838644946	1764	621	9499	57915000	7
20240520 201210	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	82	TRUE	445679	0.125187963152421	8.21719648440194	6.90520064723387	0.218324100518657	0.853329922747798	422	685	12096	58875000	8
20240520 201229	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	51	TRUE	445679	0.219019204531141	3.05193800733832	7.77617903018836	0.807583991634601	0.907437131245388	4505	395	7451	54450000	9
20240520 201434	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	389	TRUE	445679	0.042096950283958	1.90948976989603	4.30135971895652	0.181789267488057	0.608714202401461	5387	392	8052	58170000	10
